Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
89,Vlatko Čančar\cancavl01,PF,24,DEN,14,152,14.4,.678,.308,.308,4.4,12.2,8.4,12.5,0.7,1.8,15.3,15.3,,0.3,0.1,0.4,.132,,-0.2,-0.7,-0.9,0.0
90,Clint Capela\capelca01,C,27,ATL,36,1068,21.6,.564,.003,.290,15.4,32.2,23.8,7.2,1.3,4.6,5.3,16.2,,2.8,1.3,4.1,.184,,1.9,-0.5,1.4,0.9
91,Vernon Carey Jr.\careyve01,C,20,CHO,2,12,18.9,.543,.000,.167,17.0,9.1,13.2,0.0,4.0,0.0,13.4,26.2,,0.0,0.0,0.0,.063,,-3.4,-6.0,-9.4,0.0
92,Jevon Carter\carteje01,PG,26,BRK,31,359,5.4,.407,.778,.040,1.9,11.6,6.9,10.8,1.5,2.0,12.2,13.8,,-0.4,0.4,0.0,-0.004,,-4.5,0.0,-4.5,-0.2
93,Wendell Carter Jr.\cartewe01,C,22,ORL,37,1086,17.7,.580,.372,.270,7.8,29.6,18.6,15.2,1.2,2.0,12.5,19.1,,1.7,1.2,2.9,.127,,1.0,0.4,1.4,0.9
94,Alex Caruso\carusal01,SG,27,CHI,26,729,14.4,.585,.472,.325,3.8,10.8,7.3,18.5,3.5,1.1,17.3,13.6,,1.0,1.1,2.1,.139,,-0.9,2.9,2.0,0.7
95,Willie Cauley-Stein\caulewi01,C,28,DAL,18,177,8.6,.474,.057,.057,7.9,15.8,11.8,7.1,1.7,1.6,16.3,10.8,,0.0,0.2,0.2,.064,,-3.8,0.7,-3.1,0.0
96,Ahmad Caver\caverah01,PG,25,IND,1,1,79.9,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,,0.0,0.0,0.0,1.292,,30.8,6.3,37.1,0.0
97,Justin Champagnie\champju01,SF,20,TOR,21,162,18.3,.608,.319,.191,17.1,9.9,13.7,3.6,1.2,1.8,3.8,13.9,,0.6,0.1,0.7,.196,,1.1,-2.1,-1.1,0.0
98,Chris Chiozza\chiozch01,PG,26,GSW,19,211,4.5,.389,.627,.020,4.3,8.0,6.2,20.4,1.8,0.0,24.8,14.1,,-0.3,0.3,0.0,.009,,-5.7,-0.1,-5.7,-0.2
99,Marquese Chriss\chrisma01,PF,24,DAL,10,119,15.2,.629,.222,.178,8.2,30.0,18.9,2.8,0.8,3.1,15.6,21.6,,0.1,0.2,0.3,.117,,-3.9,0.4,-3.5,0.0
100,Josh Christopher\chrisjo01,SG,20,HOU,34,544,12.8,.560,.387,.258,4.4,9.0,6.7,17.1,2.5,0.5,19.4,20.9,,0.1,0.2,0.2,.020,,-1.5,-1.9,-3.4,-0.2
101,Gary Clark\clarkga01,PF,27,NOP,10,117,15.3,.720,.885,.154,5.4,19.0,12.1,5.0,1.3,1.6,9.8,11.3,,0.2,0.1,0.3,.130,,2.9,-0.7,2.2,0.1
102,Brandon Clarke\clarkbr01,PF,25,MEM,29,511,24.7,.662,.082,.283,11.2,20.1,15.6,12.2,0.9,5.4,6.8,18.1,,2.0,0.7,2.6,.246,,3.6,0.4,4.0,0.8
103,Jordan Clarkson\clarkjo01,SG,29,UTA,40,1030,14.1,.514,.583,.131,3.2,10.9,7.3,13.5,1.4,0.7,9.7,27.2,,0.5,0.9,1.4,.066,,0.2,-1.5,-1.3,0.2
104,Nic Claxton\claxtni01,C,22,BRK,20,443,18.2,.661,.000,.320,9.5,16.3,13.1,6.4,1.2,4.6,9.7,15.1,,1.1,0.6,1.7,.182,,0.0,0.1,0.1,0.2
105,Amir Coffey\coffeam01,SG,24,LAC,29,534,13.2,.625,.624,.360,2.0,13.5,7.9,10.4,1.1,1.0,6.5,12.7,,1.1,0.6,1.7,.151,,0.2,1.0,1.2,0.4
106,John Collins\collijo01,PF,24,ATL,34,1109,20.5,.632,.250,.318,6.3,19.9,13.1,9.3,1.0,3.2,7.5,20.0,,3.3,0.7,4.0,.174,,2.5,-0.1,2.4,1.2
107,Darren Collison\collida01,PG,34,LAL,3,37,-0.2,.286,.429,.000,0.0,11.1,5.7,6.8,1.3,0.0,12.5,9.2,,-0.1,0.0,0.0,-0.060,,-9.9,-1.0,-10.9,-0.1
108,Mike Conley\conlemi01,PG,34,UTA,36,1025,18.7,.601,.530,.183,2.3,8.9,5.8,27.8,1.9,0.8,12.0,20.0,,3.1,1.0,4.1,.190,,3.6,0.3,3.9,1.5
109,Pat Connaughton\connapa01,SG,29,MIL,40,1125,14.1,.625,.719,.100,2.7,14.2,8.6,6.9,1.7,1.2,7.5,14.2,,2.0,1.2,3.2,.137,,1.0,0.4,1.4,1.0
110,Tyler Cook\cookty01,PF,24,CHI,9,94,17.0,.740,.000,.800,7.1,17.4,12.3,4.4,1.6,0.9,12.9,14.5,,0.3,0.1,0.4,.211,,-1.7,-0.7,-2.4,0.0
111,Sharife Cooper\coopesh01,PG,20,ATL,9,33,-5.0,.269,.385,.000,0.0,16.3,8.2,20.0,0.0,0.0,27.8,23.8,,-0.2,0.0,-0.2,-0.319,,-11.5,-5.8,-17.3,-0.1
112,Petr Cornelie\cornepe01,PF,26,DEN,13,38,10.2,.418,.533,.267,20.7,20.1,20.4,11.3,1.3,2.4,19.3,24.3,,-0.1,0.0,0.0,-0.009,,-6.0,-2.9,-8.9,-0.1
